TotalMolarFlow,FeedTemperature,ColumnRefluxRatio ,GlycerolMoleFraction
2,60,2.05,0.49955727
2,60,2.1375,0.499491827
2,60,2.225,0.499429259
2,60,2.3125,0.49936939
2,60,2.4,0.499312054
2,65,1.7,0.49995694
2,65,1.7875,0.499873176
2,65,1.875,0.499793229
2,65,1.9625,0.499717088
2,65,2.05,0.499644503
2,65,2.1375,0.49957524
2,65,2.225,0.499509087
2,65,2.3125,0.499445849
2,65,2.4,0.499385344
2,70,1.7,0.500069633
2,70,1.7875,0.499980147
2,70,1.875,0.499895423
2,70,1.9625,0.499814534
2,70,2.05,0.499737506
2,70,2.1375,0.499664084
2,70,2.225,0.499594032
2,70,2.3125,0.499527133
2,70,2.4,0.49946319
2,75,1.7,0.50019516
2,75,1.7875,0.500099879
2,75,1.875,0.500009455
2,75,1.9625,0.499923803
2,75,2.05,0.499842017
2,75,2.1375,0.499764129
2,75,2.225,0.499689881
2,75,2.3125,0.499619038
2,75,2.4,0.499551382
2.5,35,1.7,0.478214131
2.5,35,1.7875,0.478146984
2.5,35,1.875,0.478081696
2.5,35,1.9625,0.478018574
2.5,35,2.05,0.477957517
2.5,35,2.1375,0.477898428
2.5,35,2.225,0.477841217
2.5,35,2.3125,0.477785798
2.5,35,2.4,0.477732092
2.5,40,1.7,0.478327736
2.5,40,1.7875,0.478256857
2.5,40,1.875,0.478188017
2.5,40,1.9625,0.478121508
2.5,40,2.05,0.478057217
2.5,40,2.1375,0.47799504
2.5,40,2.225,0.477934877
2.5,40,2.3125,0.477876635
2.5,40,2.4,0.477820227
2.5,45,1.7,0.478448163
2.5,45,1.7875,0.478372985
2.5,45,1.875,0.478300608
2.5,45,1.9625,0.478230446
2.5,45,2.05,0.47816267
2.5,45,2.1375,0.478097166
2.5,45,2.225,0.478033826
2.5,45,2.3125,0.477972548
2.5,45,2.4,0.477913236
2.5,50,1.7,0.478576034
2.5,50,1.7875,0.47849651
2.5,50,1.875,0.4784197
2.5,50,1.9625,0.478345885
2.5,50,2.05,0.478274348
2.5,50,2.1375,0.478205255
2.5,50,2.225,0.47813849
2.5,50,2.3125,0.478073942
2.5,50,2.4,0.478011505
2.5,55,1.7,0.478711992
2.5,55,1.7875,0.47862776
2.5,55,1.875,0.47854646
2.5,55,1.9625,0.478468085
2.5,55,2.05,0.478392489
2.5,55,2.1375,0.478319803
2.5,55,2.225,0.478249343
2.5,55,2.3125,0.478181267
2.5,55,2.4,0.478115462
2.5,60,1.7,0.478856752
2.5,60,1.7875,0.47876741
2.5,60,1.875,0.478681239
2.5,60,1.9625,0.478598235
2.5,60,2.05,0.478518233
2.5,60,2.1375,0.478441079
2.5,60,2.225,0.478366901
2.5,60,2.3125,0.478295017
2.5,60,2.4,0.478225575
2.5,65,1.7,0.479011098
2.5,65,1.7875,0.478916203
2.5,65,1.875,0.478824743
2.5,65,1.9625,0.478736716
2.5,65,2.05,0.478651937
2.5,65,2.1375,0.478570239
2.5,65,2.225,0.478491464
2.5,65,2.3125,0.478415729
2.5,65,2.4,0.478342361
2.5,70,1.7,0.479175891
2.5,70,1.7875,0.47907497
2.5,70,1.875,0.478977756
2.5,70,1.9625,0.478884265
2.5,70,2.05,0.478794299
2.5,70,2.1375,0.47870767
2.5,70,2.225,0.478624206
2.5,70,2.3125,0.478543741
2.5,70,2.4,0.478466126
2.5,75,1.7,0.479376068
2.5,75,1.7875,0.479268682
2.5,75,1.875,0.479165323
2.5,75,1.9625,0.479065973
2.5,75,2.05,0.478970418
2.5,75,2.1375,0.478878455
2.5,75,2.225,0.478789896
2.5,75,2.3125,0.478704564
2.5,75,2.4,0.478622298
3,35,1.7,0.466565876
3,35,1.7875,0.466511432
3,35,1.875,0.466458609
3,35,1.9625,0.46640735
3,35,2.05,0.466357588
3,35,2.1375,0.466309259
3,35,2.225,0.466262307
3,35,2.3125,0.466216673
3,35,2.4,0.466172306
3,40,1.7,0.466676864
3,40,1.7875,0.466619271
3,40,1.875,0.466563366
3,40,1.9625,0.466509149
3,40,2.05,0.466456549
3,40,2.1375,0.466405495
3,40,2.225,0.466355925
3,40,2.3125,0.466307775
3,40,2.4,0.466260988
3,45,1.7,0.466794991
3,45,1.7875,0.466734103
3,45,1.875,0.466674853
3,45,1.9625,0.46661743
3,45,2.05,0.466561755
3,45,2.1375,0.466507569
3,45,2.225,0.466455169
3,45,2.3125,0.466404302
3,45,2.4,0.466354903
3,50,1.7,0.466920784
3,50,1.7875,0.466856127
3,50,1.875,0.466793253
3,50,1.9625,0.466732358
3,50,2.05,0.466673355
3,50,2.1375,0.46661616
3,50,2.225,0.466560695
3,50,2.3125,0.466506885
3,50,2.4,0.466454486
3,55,1.7,0.467054948
3,55,1.7875,0.466986191
3,55,1.875,0.466919379
3,55,1.9625,0.466854714
3,55,2.05,0.466792101
3,55,2.1375,0.466731447
3,55,2.225,0.466672665
3,55,2.3125,0.466615673
3,55,2.4,0.466560395
3,60,1.7,0.467198236
3,60,1.7875,0.467125015
3,60,1.875,0.467053919
3,60,1.9625,0.466985156
3,60,2.05,0.466918621
3,60,2.1375,0.466854211
3,60,2.225,0.46679183
3,60,2.3125,0.466731388
3,60,2.4,0.466672801
3,65,1.7,0.46735148
3,65,1.7875,0.467273392
3,65,1.875,0.46719763
3,65,1.9625,0.467124407
3,65,2.05,0.467053605
3,65,2.1375,0.466985112
3,65,2.225,0.466918822
3,65,2.3125,0.466854635
3,65,2.4,0.466792458
3,70,1.7,0.467515592
3,70,1.7875,0.467432193
3,70,1.875,0.467351343
3,70,1.9625,0.46727326
3,70,2.05,0.467197813
3,70,2.1375,0.467124876
3,70,2.225,0.467054335
3,70,2.3125,0.466986077
3,70,2.4,0.466920001
3,75,1.7,0.467719736
3,75,1.7875,0.46763069
3,75,1.875,0.467544408
3,75,1.9625,0.467461107
3,75,2.05,0.467380647
3,75,2.1375,0.467302895
3,75,2.225,0.467227723
3,75,2.3125,0.467155014
3,75,2.4,0.467084656
3.5,35,1.7,0.458861671
3.5,35,1.7875,0.458818231
3.5,35,1.875,0.458775996
3.5,35,1.9625,0.458734895
3.5,35,2.05,0.458694883
3.5,35,2.1375,0.458655919
3.5,35,2.225,0.458617964
3.5,35,2.3125,0.458580981
3.5,35,2.4,0.458544934
3.5,40,1.7,0.458965209
3.5,40,1.7875,0.458919061
3.5,40,1.875,0.458874222
3.5,40,1.9625,0.458830612
3.5,40,2.05,0.458788184
3.5,40,2.1375,0.458746891
3.5,40,2.225,0.45870669
3.5,40,2.3125,0.45866754
3.5,40,2.4,0.458629402
3.5,45,1.7,0.459075609
3.5,45,1.7875,0.459026536
3.5,45,1.875,0.458978866
3.5,45,1.9625,0.458932531
3.5,45,2.05,0.458887479
3.5,45,2.1375,0.458843658
3.5,45,2.225,0.458801021
3.5,45,2.3125,0.458759523
3.5,45,2.4,0.458719119
3.5,50,1.7,0.45919351
3.5,50,1.7875,0.459141254
3.5,50,1.875,0.459090502
3.5,50,1.9625,0.459041202
3.5,50,2.05,0.458993297
3.5,50,2.1375,0.458946729
3.5,50,2.225,0.458901447
3.5,50,2.3125,0.458857399
3.5,50,2.4,0.458814539
3.5,55,1.7,0.459319642
3.5,55,1.7875,0.459264
3.5,55,1.875,0.459209888
3.5,55,1.9625,0.459157358
3.5,55,2.05,0.459106345
3.5,55,2.1375,0.459056668
3.5,55,2.225,0.459008509
3.5,55,2.3125,0.458961691
3.5,55,2.4,0.458916161
3.5,60,1.7,0.459454705
3.5,60,1.7875,0.459395251
3.5,60,1.875,0.459337473
3.5,60,1.9625,0.459281421
3.5,60,2.05,0.459227024
3.5,60,2.1375,0.459174212
3.5,60,2.225,0.45912292
3.5,60,2.3125,0.459073087
3.5,60,2.4,0.459024654
3.5,65,1.7,0.459599553
3.5,65,1.7875,0.45953593
3.5,65,1.875,0.459474149
3.5,65,1.9625,0.459414253
3.5,65,2.05,0.459356163
3.5,65,2.1375,0.459299801
3.5,65,2.225,0.459245097
3.5,65,2.3125,0.459191981
3.5,65,2.4,0.459140389
3.5,70,1.7,0.4597551
3.5,70,1.7875,0.459686917
3.5,70,1.875,0.45962076
3.5,70,1.9625,0.459556664
3.5,70,2.05,0.45949454
3.5,70,2.1375,0.459434304
3.5,70,2.225,0.459375877
3.5,70,2.3125,0.459319181
3.5,70,2.4,0.459264146
3.5,75,1.7,0.459950343
3.5,75,1.7875,0.459877327
3.5,75,1.875,0.459806503
3.5,75,1.9625,0.459737902
3.5,75,2.05,0.459671428
3.5,75,2.1375,0.459606991
3.5,75,2.225,0.459544505
3.5,75,2.3125,0.45948389
3.5,75,2.4,0.459425069
4,35,1.7,0.453316257
4,35,1.7875,0.453281001
4,35,1.875,0.453246619
4,35,1.9625,0.45321308
4,35,2.05,0.453180356
4,35,2.1375,0.453148416
4,35,2.225,0.453117235
4,35,2.3125,0.453086718
4,35,2.4,0.453056983
4,40,1.7,0.453412368
4,40,1.7875,0.453374787
4,40,1.875,0.453338197
4,40,1.9625,0.453302524
4,40,2.05,0.453267736
4,40,2.1375,0.453233802
4,40,2.225,0.453200692
4,40,2.3125,0.453168376
4,40,2.4,0.453136828
4,45,1.7,0.453515031
4,45,1.7875,0.453474968
4,45,1.875,0.45343597
4,45,1.9625,0.453397972
4,45,2.05,0.453360938
4,45,2.1375,0.453324833
4,45,2.225,0.453289623
4,45,2.3125,0.453255278
4,45,2.4,0.453221766
4,50,1.7,0.453624903
4,50,1.7875,0.453582131
4,50,1.875,0.453540506
4,50,1.9625,0.453499972
4,50,2.05,0.453460489
4,50,2.1375,0.453422018
4,50,2.225,0.453384523
4,50,2.3125,0.453347968
4,50,2.4,0.45331232
4,55,1.7,0.45374267
4,55,1.7875,0.453697008
4,55,1.875,0.453652511
4,55,1.9625,0.453609207
4,55,2.05,0.453567051
4,55,2.1375,0.453525922
4,55,2.225,0.453485934
4,55,2.3125,0.453446972
4,55,2.4,0.453408997
4,60,1.7,0.453869073
4,60,1.7875,0.453820155
4,60,1.875,0.453772519
4,60,1.9625,0.453726187
4,60,2.05,0.45368111
4,60,2.1375,0.453637241
4,60,2.225,0.453594532
4,60,2.3125,0.453552943
4,60,2.4,0.45351243
4,65,1.7,0.454004923
4,65,1.7875,0.45395244
4,65,1.875,0.453901367
4,65,1.9625,0.453851723
4,65,2.05,0.453803452
4,65,2.1375,0.453756502
4,65,2.225,0.453710822
4,65,2.3125,0.453666363
4,65,2.4,0.453623081
4,70,1.7,0.454150855
4,70,1.7875,0.454094725
4,70,1.875,0.454039889
4,70,1.9625,0.453986619
4,70,2.05,0.453934853
4,70,2.1375,0.453884533
4,70,2.225,0.453835603
4,70,2.3125,0.453788009
4,70,2.4,0.453741701
4,75,1.7,0.454335048
4,75,1.7875,0.454274855
4,75,1.875,0.454216022
4,75,1.9625,0.454158875
4,75,2.05,0.454103349
4,75,2.1375,0.454049383
4,75,2.225,0.453996917
4,75,2.3125,0.453945894
4,75,2.4,0.453896261
4.5,35,1.7,0.449115521
4.5,35,1.7875,0.449086357
4.5,35,1.875,0.449057842
4.5,35,1.9625,0.449029971
4.5,35,2.05,0.449002723
4.5,35,2.1375,0.448976078
4.5,35,2.225,0.448949968
4.5,35,2.3125,0.448924476
4.5,35,2.4,0.448899532
4.5,40,1.7,0.449204933
4.5,40,1.7875,0.449173767
4.5,40,1.875,0.449143361
4.5,40,1.9625,0.449113658
4.5,40,2.05,0.449084634
4.5,40,2.1375,0.449056267
4.5,40,2.225,0.449028535
4.5,40,2.3125,0.449001419
4.5,40,2.4,0.448974899
4.5,45,1.7,0.449300585
